size,InsertionSort,QuickSort
2,6.8332e-08,7.1292e-08
3,1.48004e-07,8.788e-08
4,9.9144e-08,1.19572e-07
5,1.21048e-07,1.22496e-07
6,1.532e-07,3.2578e-07
7,1.76524e-07,3.2506e-07
8,2.22524e-07,3.37156e-07
9,2.5914e-07,3.70744e-07
10,3.19484e-07,4.66836e-07
11,3.9646e-07,4.7468e-07
12,4.15096e-07,5.095e-07
13,5.17624e-07,5.746e-07
14,5.78948e-07,6.11432e-07
15,6.45164e-07,6.57108e-07
16,7.40636e-07,6.72656e-07
17,7.95752e-07,6.88664e-07
18,9.17932e-07,7.563e-07
19,9.797e-07,7.19032e-07
20,1.11357e-06,8.30612e-07
21,1.27644e-06,8.57064e-07
22,1.26351e-06,9.1114e-07
23,1.35796e-06,1.03318e-06
24,1.44444e-06,1.0922e-06
25,1.62254e-06,1.16385e-06
26,1.66555e-06,1.21389e-06
27,2.06828e-06,1.15931e-06
28,1.97679e-06,1.31524e-06
29,2.08591e-06,1.27792e-06
30,2.2002e-06,1.30749e-06
31,2.35352e-06,1.35562e-06
32,2.50154e-06,1.40934e-06
33,2.51879e-06,1.34518e-06
34,2.72549e-06,1.44402e-06
35,2.94477e-06,1.393e-06
36,3.02453e-06,1.46694e-06
37,3.28956e-06,1.43956e-06
38,3.41777e-06,1.63826e-06
39,3.81478e-06,1.55516e-06
40,3.93884e-06,1.7667e-06
41,3.99888e-06,1.7107e-06
42,4.15702e-06,1.9935e-06
43,4.25031e-06,1.92098e-06
44,4.45958e-06,1.94078e-06
45,4.57524e-06,2.01091e-06
46,5.07599e-06,2.26762e-06
47,5.03763e-06,2.65338e-06
48,5.37084e-06,2.64708e-06
49,5.52513e-06,2.50066e-06
50,5.59526e-06,2.44369e-06
51,5.99652e-06,2.44225e-06
52,6.10751e-06,2.57638e-06
53,6.23179e-06,2.45406e-06
54,6.5141e-06,2.49722e-06
55,6.6563e-06,2.49429e-06
56,6.8746e-06,2.53547e-06
57,7.04249e-06,2.54133e-06
58,7.26384e-06,2.57526e-06
59,7.60075e-06,2.54959e-06
60,7.73068e-06,2.69201e-06
61,7.90958e-06,2.65594e-06
62,8.2027e-06,2.85858e-06
63,8.61468e-06,2.65541e-06
64,8.69848e-06,2.83771e-06
65,8.99531e-06,2.78267e-06
66,9.23152e-06,2.81491e-06
67,9.49212e-06,2.82646e-06
68,9.91897e-06,2.94453e-06
69,1.01446e-05,2.95706e-06
70,1.05279e-05,3.07983e-06
71,1.07521e-05,3.01178e-06
72,1.12227e-05,3.04966e-06
73,1.15841e-05,3.13358e-06
74,1.17381e-05,3.10235e-06
75,1.21001e-05,3.08003e-06
76,1.22684e-05,3.36319e-06
77,1.25488e-05,3.36146e-06
78,1.32404e-05,3.29774e-06
79,1.30994e-05,3.31206e-06
80,1.38132e-05,3.4682e-06
81,1.37801e-05,3.37277e-06
82,1.41395e-05,3.45669e-06
83,1.83147e-05,3.62794e-06
84,1.55477e-05,3.88036e-06
85,1.58892e-05,3.78859e-06
86,1.5678e-05,4.18795e-06
87,1.60332e-05,3.89974e-06
88,1.59037e-05,4.10751e-06
89,2.02062e-05,4.17642e-06
90,1.72637e-05,4.32236e-06
91,1.7378e-05,4.31028e-06
92,1.83599e-05,4.46042e-06
93,1.87782e-05,4.53124e-06
94,1.9226e-05,5.23211e-06
95,1.89831e-05,4.7087e-06
96,1.97553e-05,4.80421e-06
97,2.05086e-05,5.11326e-06
98,2.17664e-05,5.40474e-06
99,2.15476e-05,5.02972e-06
100,2.72111e-05,6.44791e-06
101,2.63115e-05,6.11261e-06
